link_id,WKT
1,"LINESTRING(114 1943,2057 1943)"
2,"LINESTRING(2057 1943,114 1943)"
3,"LINESTRING(114 1943,114 914)"
4,"LINESTRING(114 914,114 1943)"
5,"LINESTRING(114 914,3543 1143)"
6,"LINESTRING(3543 1143,114 914)"
7,"LINESTRING(2057 1943,3543 1943)"
8,"LINESTRING(3543 1943,2057 1943)"
9,"LINESTRING(3543 1943,3543 1143)"
10,"LINESTRING(3543 1143,3543 1943)"
11,"LINESTRING(3543 1143,3543 686)"
12,"LINESTRING(3543 686,3543 1143)"
100,"LINESTRING(343 1600,114 1943)"
101,"LINESTRING(2057 1714,2057 1943)"
102,"LINESTRING(3543 686,3900 686)"
20,"LINESTRING(2400 1714,3817 1714)"
21,"LINESTRING(3817 1714,2400 1714)"
22,"LINESTRING(2286 1874,3771 1874)"
23,"LINESTRING(3771 1874,2286 1874)"
24,"LINESTRING(3657 1829,3657 914)"
25,"LINESTRING(3657 914,3657 1829)"
120,"LINESTRING(343 1600,2354 1680)"
121,"LINESTRING(2057 1714,2354 1680)"
122,"LINESTRING(3700 914,3900 686)"
130,"LINESTRING(2354 1680,2400 1714)"
131,"LINESTRING(2354 1680,2286 1874)"
132,"LINESTRING(3771 1874,3800 1794)"
133,"LINESTRING(3817 1714,3800 1794)"
134,"LINESTRING(3657 914,3700 914)"
135,"LINESTRING(3690 1829, 3657 1829)"
136,"LINESTRING(3657 1829, 3690 1829)"
137,"LINESTRING(3800 1794, 3690 1829)"
