node_id,x_coord,y_coord,node_type,WKT
1,343,1600,centroid,343 1600
2,2057,1714,centroid,2057 1714
3,3900,686,centroid,3900 686
10,114,914,road intersection,114 914
11,114,1943,road intersection,114 1943
12,2057,1943,road intersection,2057 1943
13,3543,1943,road intersection,3543 1943
14,3543,1143,road intersection,3543 1143
15,3543,686,road intersection,3543 686
20,2354,1680,transit boarding,2354 1680
21,3700,914,transit boarding,3700 914
22,2286,1874,transit,2286 1874
23,2400,1714,transit,2400 1714
24,3657,1829,transit,3657 1829
25,3657,914,transit,3657 914
26,3771,1874,transit,3771 1874
27,3817,1714,transit,3817 1714
