trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint,checkpoint_id,continuous_pickup,continuous_drop_off
1,6:00:00,6:00:00,23,1,,0,0,0,,,
1,6:02:00,6:02:00,27,2,,0,0,0,,,
2,6:08:00,6:08:00,23,1,,0,0,0,,,
2,6:10:00,6:10:00,27,2,,0,0,0,,,
3,6:16:00,6:16:00,23,1,,0,0,0,,,
3,6:18:00,6:18:00,27,2,,0,0,0,,,
4,6:24:00,6:24:00,23,1,,0,0,0,,,
4,6:26:00,6:26:00,27,2,,0,0,0,,,
5,6:32:00,6:32:00,23,1,,0,0,0,,,
5,6:34:00,6:34:00,27,2,,0,0,0,,,
6,6:40:00,6:40:00,23,1,,0,0,0,,,
6,6:42:00,6:42:00,27,2,,0,0,0,,,
7,6:48:00,6:48:00,23,1,,0,0,0,,,
7,6:50:00,6:50:00,27,2,,0,0,0,,,
8,6:56:00,6:56:00,23,1,,0,0,0,,,
8,6:58:00,6:58:00,27,2,,0,0,0,,,
9,7:04:00,7:04:00,23,1,,0,0,0,,,
9,7:06:00,7:06:00,27,2,,0,0,0,,,
10,7:12:00,7:12:00,23,1,,0,0,0,,,
10,7:14:00,7:14:00,27,2,,0,0,0,,,
11,7:20:00,7:20:00,23,1,,0,0,0,,,
11,7:22:00,7:22:00,27,2,,0,0,0,,,
12,7:28:00,7:28:00,23,1,,0,0,0,,,
12,7:30:00,7:30:00,27,2,,0,0,0,,,
13,7:36:00,7:36:00,23,1,,0,0,0,,,
13,7:38:00,7:38:00,27,2,,0,0,0,,,
14,7:44:00,7:44:00,23,1,,0,0,0,,,
14,7:46:00,7:46:00,27,2,,0,0,0,,,
15,7:52:00,7:52:00,23,1,,0,0,0,,,
15,7:54:00,7:54:00,27,2,,0,0,0,,,
16,8:00:00,8:00:00,23,1,,0,0,0,,,
16,8:02:00,8:02:00,27,2,,0,0,0,,,
17,8:08:00,8:08:00,23,1,,0,0,0,,,
17,8:10:00,8:10:00,27,2,,0,0,0,,,
18,8:16:00,8:16:00,23,1,,0,0,0,,,
18,8:18:00,8:18:00,27,2,,0,0,0,,,
19,8:24:00,8:24:00,23,1,,0,0,0,,,
19,8:26:00,8:26:00,27,2,,0,0,0,,,
20,8:32:00,8:32:00,23,1,,0,0,0,,,
20,8:34:00,8:34:00,27,2,,0,0,0,,,
21,8:40:00,8:40:00,23,1,,0,0,0,,,
21,8:42:00,8:42:00,27,2,,0,0,0,,,
22,8:48:00,8:48:00,23,1,,0,0,0,,,
22,8:50:00,8:50:00,27,2,,0,0,0,,,
23,8:56:00,8:56:00,23,1,,0,0,0,,,
23,8:58:00,8:58:00,27,2,,0,0,0,,,
24,9:04:00,9:04:00,23,1,,0,0,0,,,
24,9:06:00,9:06:00,27,2,,0,0,0,,,
25,9:12:00,9:12:00,23,1,,0,0,0,,,
25,9:14:00,9:14:00,27,2,,0,0,0,,,
26,9:20:00,9:20:00,23,1,,0,0,0,,,
26,9:22:00,9:22:00,27,2,,0,0,0,,,
27,9:28:00,9:28:00,23,1,,0,0,0,,,
27,9:30:00,9:30:00,27,2,,0,0,0,,,
28,9:36:00,9:36:00,23,1,,0,0,0,,,
28,9:38:00,9:38:00,27,2,,0,0,0,,,
29,9:44:00,9:44:00,23,1,,0,0,0,,,
29,9:46:00,9:46:00,27,2,,0,0,0,,,
30,9:52:00,9:52:00,23,1,,0,0,0,,,
30,9:54:00,9:54:00,27,2,,0,0,0,,,
31,10:00:00,10:00:00,23,1,,0,0,0,,,
31,10:02:00,10:02:00,27,2,,0,0,0,,,
32,10:08:00,10:08:00,23,1,,0,0,0,,,
32,10:10:00,10:10:00,27,2,,0,0,0,,,
33,10:16:00,10:16:00,23,1,,0,0,0,,,
33,10:18:00,10:18:00,27,2,,0,0,0,,,
34,10:24:00,10:24:00,23,1,,0,0,0,,,
34,10:26:00,10:26:00,27,2,,0,0,0,,,
35,10:32:00,10:32:00,23,1,,0,0,0,,,
35,10:34:00,10:34:00,27,2,,0,0,0,,,
36,10:40:00,10:40:00,23,1,,0,0,0,,,
36,10:42:00,10:42:00,27,2,,0,0,0,,,
37,10:48:00,10:48:00,23,1,,0,0,0,,,
37,10:50:00,10:50:00,27,2,,0,0,0,,,
38,10:56:00,10:56:00,23,1,,0,0,0,,,
38,10:58:00,10:58:00,27,2,,0,0,0,,,
39,11:04:00,11:04:00,23,1,,0,0,0,,,
39,11:06:00,11:06:00,27,2,,0,0,0,,,
40,11:12:00,11:12:00,23,1,,0,0,0,,,
40,11:14:00,11:14:00,27,2,,0,0,0,,,
41,11:20:00,11:20:00,23,1,,0,0,0,,,
41,11:22:00,11:22:00,27,2,,0,0,0,,,
42,11:28:00,11:28:00,23,1,,0,0,0,,,
42,11:30:00,11:30:00,27,2,,0,0,0,,,
43,11:36:00,11:36:00,23,1,,0,0,0,,,
43,11:38:00,11:38:00,27,2,,0,0,0,,,
44,11:44:00,11:44:00,23,1,,0,0,0,,,
44,11:46:00,11:46:00,27,2,,0,0,0,,,
45,11:52:00,11:52:00,23,1,,0,0,0,,,
45,11:54:00,11:54:00,27,2,,0,0,0,,,
46,12:00:00,12:00:00,23,1,,0,0,0,,,
46,12:02:00,12:02:00,27,2,,0,0,0,,,
47,12:08:00,12:08:00,23,1,,0,0,0,,,
47,12:10:00,12:10:00,27,2,,0,0,0,,,
48,12:16:00,12:16:00,23,1,,0,0,0,,,
48,12:18:00,12:18:00,27,2,,0,0,0,,,
49,12:24:00,12:24:00,23,1,,0,0,0,,,
49,12:26:00,12:26:00,27,2,,0,0,0,,,
50,12:32:00,12:32:00,23,1,,0,0,0,,,
50,12:34:00,12:34:00,27,2,,0,0,0,,,
51,12:40:00,12:40:00,23,1,,0,0,0,,,
51,12:42:00,12:42:00,27,2,,0,0,0,,,
52,12:48:00,12:48:00,23,1,,0,0,0,,,
52,12:50:00,12:50:00,27,2,,0,0,0,,,
53,12:56:00,12:56:00,23,1,,0,0,0,,,
53,12:58:00,12:58:00,27,2,,0,0,0,,,
54,13:04:00,13:04:00,23,1,,0,0,0,,,
54,13:06:00,13:06:00,27,2,,0,0,0,,,
55,13:12:00,13:12:00,23,1,,0,0,0,,,
55,13:14:00,13:14:00,27,2,,0,0,0,,,
56,13:20:00,13:20:00,23,1,,0,0,0,,,
56,13:22:00,13:22:00,27,2,,0,0,0,,,
57,13:28:00,13:28:00,23,1,,0,0,0,,,
57,13:30:00,13:30:00,27,2,,0,0,0,,,
58,13:36:00,13:36:00,23,1,,0,0,0,,,
58,13:38:00,13:38:00,27,2,,0,0,0,,,
